Recipient Name,Recipient ID,Grants,Total,Average,Largest,Smallest
Jitb Ltd,GB-COH-07459415,1,18841,18841,18841,18841
Jewellery Quarter N'Hood Forum,360G-BirminghamCC-jewellery_quarter_nhood_forum,1,500,500,500,500
Jamatia Trust,360G-BirminghamCC-jamatia_trust,2,2750,1375,2000,750
Irish In Birmingham,GB-COH-03628076,5,128986,25797,50391,12597
Inspiring A New Generation,360G-BirminghamCC-inspiring_a_new_generation,1,5000,5000,5000,5000
InUnity Ltd,GB-COH-07808693,1,814,814,814,814
Ikon Gallery Ltd,GB-COH-00902136,5,237000,47400,84500,4000
Hydra Theatre,360G-BirminghamCC-hydra_theatre,1,300,300,300,300
Huntington's Disease Association,GB-COH-02021975,3,63551,21183,31363,15681
House of Play + Education,GB-CHC-1147981,2,11028,5514,7500,3528
Home-Start Northfield,GB-COH-05746423,3,4677,1559,3182,200
Home From Hospital Care After Treatment,GB-CHC-517190,6,252197,42032,90797,22699
Highfield Hall Stroke Club,360G-BirminghamCC-highfield_hall_stroke_club,1,1000,1000,1000,1000
Highcroft Community Centre Cio,GB-CHC-1153987,2,2420,1210,2400,20
Health Exchange C.I.C,GB-COH-06445689,2,48750,24375,33000,15750
Headway (West Midlands) Ltd,GB-COH-02686647,1,57501,57501,57501,57501
Hawthorn Road Traders Association,360G-BirminghamCC-hawthorn_road_traders_association,3,2500,833,1000,500
Harmony Group,360G-BirminghamCC-harmony_group,2,500,250,250,250
Harborne Carnival,360G-BirminghamCC-harborne_carnival,5,2500,500,500,500
Handsworth Wood Youth Group,360G-BirminghamCC-handsworth_wood_youth_group,1,500,500,500,500
Handsworth Wood Resident Assn,360G-BirminghamCC-handsworth_wood_resident_assn,2,1500,750,750,750
Handsworth Wood Comm Development Trust,GB-COH-08618954,3,12963,4321,4988,3000
Handsworth Star Art Hub,360G-BirminghamCC-handsworth_star_art_hub,2,500,250,250,250
Handsworth Park Association,360G-BirminghamCC-handsworth_park_association,2,7000,3500,5000,2000
Handsworth Helping Hands,360G-BirminghamCC-handsworth_helping_hands,4,1380,345,500,140
Handsworth Day Care Centre,GB-COH-09091355,2,160569,80284,134359,26210
Handsworth Creative,GB-COH-08038079,1,35000,35000,35000,35000
Hamstead Hall Neighbourhood Forum,360G-BirminghamCC-hamstead_hall_neighbourhood_forum,3,5500,1833,3000,500
Hamstead Hall Community Club,360G-BirminghamCC-hamstead_hall_community_club,2,1980,990,1350,630
Hamstead Hall Academy,GB-COH-08528845,6,15891,2648,5100,1137
Hall Green Youth,GB-COH-05980010,1,4740,4740,4740,4740
Hall Green Neighbourhood Forum,360G-BirminghamCC-hall_green_neighbourhood_forum,3,7561,2520,5683,750
Hall Green Methodist Church,360G-BirminghamCC-hall_green_methodist_church,1,1000,1000,1000,1000
Grosvenor Road Studios Ltd,GB-COH-04142322,2,31100,15550,25000,6100
Great Health Care Ltd,GB-COH-07841092 ,5,70110,14022,49960,500
Grange Park & Digby North Res Assn,360G-BirminghamCC-grange_park_digby_north_res_assn,6,50165,8360,16666,4166
Gospel Oak Community Centre,GB-COH-03842095,3,19042,6347,11482,2520
Golden Hillock Community Care,360G-BirminghamCC-golden_hillock_community_care,3,253372,84457,110120,59326
Glebe Farm Colts Fc,360G-BirminghamCC-glebe_farm_colts_fc,1,2000,2000,2000,2000
General Public Projects Ltd,GB-COH-07875557,2,4976,2488,2856,2120
Gallery 37 Foundation Ltd,GB-COH-05846196,1,100000,100000,100000,100000
Friends of Carey Academy,GB-CHC-1151204,1,9500,9500,9500,9500
Friends Of Ward End Park,360G-BirminghamCC-friends_of_ward_end_park,1,1000,1000,1000,1000
Friends Of Turnberry Park,360G-BirminghamCC-friends_of_turnberry_park,1,500,500,500,500
Friends Of The Queslett Nature Reserve,360G-BirminghamCC-friends_of_the_queslett_nature_rese,2,1500,750,1200,300
Friends Of Hill Hook Nature Reserve,360G-BirminghamCC-friends_of_hill_hook_nature_reserve,1,1500,1500,1500,1500
Friends Community Centre,GB-COH-07937550,1,640,640,640,640
Friction Arts,GB-COH-05312260,3,29155,9718,10000,9155
Freshwinds,GB-COH-03936089,3,157500,52500,90000,22500
Fox Hollies N/Hood Forum,360G-BirminghamCC-fox_hollies_nhood_forum,3,3600,1200,1200,1200
Fox Hollies Community Association,GB-CHC-701230,2,4500,2250,3000,1500
Four Oaks Neighbourhood Forum,360G-BirminghamCC-four_oaks_neighbourhood_forum,1,500,500,500,500
Forest Schools Birmingham CIC,GB-COH-07475765,1,16000,16000,16000,16000
Focus Birmingham,GB-COH-03353444,6,161762,26960,52991,13247
Flatpack Projects Cio,GB-COH-05987936,5,40900,8180,11000,900
Fit2Fight,360G-BirminghamCC-fit2fight,1,1000,1000,1000,1000
Fierce! (Festival) Ltd,GB-COH-04609212,2,21000,10500,11000,10000
Fastaid,GB-CHC-1117114,2,2000,1000,1000,1000
FITCAP,GB-COH-07697557,14,45153,3225,10500,214
Ex Cathedra Ltd,GB-COH-02396173,4,106500,26625,47500,2000
Eurosom Community Midlands,GB-COH-06863265,1,500,500,500,500
Eternal Life Church Ministries,GB-CHC-1141181,2,27500,13750,15000,12500
Erdington Town Centre Partnership,GB-COH-04428948,5,47500,9500,28000,1500
Erdington Elim Church,360G-BirminghamCC-erdington_elim_church,1,500,500,500,500
Erdington Baptist Church,GB-CHC-1172397,2,2000,1000,1000,1000
Eloquent Praise & Empowerment Dance Company CIC,GB-COH-10404870,1,4000,4000,4000,4000
